Serving HTTP on 0.0.0.0 port 54515 (http://0.0.0.0:54515/) ...
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /constants.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /libraries/scenemanager.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /journeyscene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /sketch.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /lastscene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] code 404, message File not found
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/favicon.ico HTTP/1.1" 404 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /public/Life%20of%20Pi.mp3 HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud2.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud1.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud3.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud4.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud1.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud2.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud4.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:02:03] "GET /assets/cloud3.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET /libraries/scenemanager.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET /constants.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET /journeyscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET /lastscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:08:22] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /public/Life%20of%20Pi.mp3 HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud2.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud1.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud4.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud3.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud1.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud2.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud3.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:23] "GET /assets/cloud4.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:31] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:08:31] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:08:49] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /constants.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /libraries/scenemanager.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /journeyscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /lastscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /public/Life%20of%20Pi.mp3 HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/moon.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/cloud3.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/cloud1.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/merch.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/cloud4.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:36] "GET /assets/cloud2.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:10:42] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:10:43] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:11:25] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:44] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /journeyscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /libraries/scenemanager.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /constants.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /lastscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud2.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /public/Life%20of%20Pi.mp3 HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud1.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud3.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud4.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud2.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/moon.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud1.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/merch.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud4.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:45] "GET /assets/cloud3.png HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:49] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:53] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:12:57] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:03] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:03] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:09] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:09] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:13] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:13] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:13:14] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:15] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:13:16] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:16] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:13:19] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:19] "GET /welcomescene.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:21] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:13:21] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:13:29] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /libraries/scenemanager.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /constants.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /journeyscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /lastscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /public/Life%20of%20Pi.mp3 HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/cloud4.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/moon.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/cloud2.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/merch.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/cloud3.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:14:22] "GET /assets/cloud1.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:32] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:14:32] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:33] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:14:41] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:14:41] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:14:45] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /constants.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /journeyscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /sketch.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /libraries/scenemanager.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /lastscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/merch.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /public/Life%20of%20Pi.mp3 HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/moon.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/cloud2.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/cloud1.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/Jacquard12-Regular.ttf HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/cloud3.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:21] "GET /assets/cloud4.png HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:16:34] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:16:35] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:17:50] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:17:50] "GET /welcomescene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:17:50] "GET /sketch.js HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:17:55] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:17:55] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:17:58] "GET / HTTP/1.1" 200 -
192.168.65.1 - - [23/Feb/2025 19:17:58] "GET /sketch.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:17:58] "GET /lastscene.js HTTP/1.1" 304 -
192.168.65.1 - - [23/Feb/2025 19:18:17] "GET / HTTP/1.1" 304 -
